               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10905,            0.027306,            0.045585,            0.062985,             0.18966,            0.077886,            0.028641,             0.08733,            0.023376,            0.035131,              0.0775,              0.0025,              0.0025
                   1,            0.083275,             0.02598,            0.030048,             0.81998,             0.14655,             0.11542,            0.030852,            0.070464,            0.021208,            0.024651,            0.053763,           0.0047634,           0.0047634
                   2,            0.069439,            0.025745,            0.021983,             0.47453,             0.29425,             0.28789,             0.11584,            0.064111,            0.017987,            0.017988,            0.029684,           0.0066836,           0.0066836
                   3,            0.064674,            0.024587,            0.017859,             0.49772,              0.4728,             0.36585,             0.13941,            0.071439,            0.015282,            0.013672,             0.00802,             0.00802,             0.00802
                   4,            0.059752,            0.021752,            0.014883,             0.59894,             0.65364,             0.44593,             0.18993,            0.070451,            0.014009,           0.0095356,             0.00802,             0.00802,             0.00802
                   5,            0.056114,            0.017726,            0.010189,              0.7115,             0.62382,             0.70066,             0.29344,             0.05695,            0.012458,           0.0075414,             0.00736,             0.00736,             0.00736
                   6,            0.049968,            0.016027,           0.0080042,             0.73001,              0.7575,             0.74652,             0.31318,            0.045603,            0.011474,           0.0063832,              0.0067,              0.0067,              0.0067
                   7,            0.044462,            0.013695,           0.0074736,             0.75344,             0.71377,             0.79523,             0.39035,            0.043512,            0.009801,           0.0050933,             0.00604,             0.00604,             0.00604
                   8,            0.042013,            0.012778,           0.0064166,              0.7759,             0.84261,             0.84984,             0.45592,            0.041679,            0.009049,           0.0046285,             0.00538,             0.00538,             0.00538
                   9,            0.038699,            0.012392,           0.0052399,             0.85807,             0.87067,             0.89035,             0.44548,            0.036455,           0.0086879,           0.0044883,             0.00472,             0.00472,             0.00472
                  10,            0.036002,            0.010579,              0.0047,             0.95091,             0.87551,             0.93246,             0.55659,            0.033577,           0.0080619,           0.0041038,             0.00406,             0.00406,             0.00406
                  11,            0.032943,            0.010603,           0.0039258,             0.96118,             0.90222,             0.95338,             0.60022,            0.029681,           0.0076418,           0.0036794,              0.0034,              0.0034,              0.0034
                  12,            0.030018,            0.010205,           0.0037704,             0.95758,              0.9209,             0.95002,             0.64957,             0.02625,            0.007304,           0.0034047,             0.00274,             0.00274,             0.00274
                  13,             0.02733,           0.0094834,           0.0032548,             0.98825,             0.92181,             0.96028,             0.67356,            0.025743,           0.0070897,           0.0031481,             0.00208,             0.00208,             0.00208
                  14,            0.024427,           0.0091681,           0.0029769,             0.99391,             0.93268,             0.96317,             0.69146,             0.02237,           0.0069523,           0.0029669,             0.00142,             0.00142,             0.00142
